Name,Lastname,Sex,Date_Loan
María,Guerrero,M,2019-03-03
Pilar,Flores,F,2017-05-28
Paula,Guerrero,M,2019-01-22
Manuel,Ramírez,F,2018-06-30
Diego,Rivera,M,2016-01-01
Valentina,Silva,F,2018-09-14
Cristian,Blanco,M,2017-08-11
Adriana,Blanco,M,2017-07-14
Miguel,Navarro,M,2016-02-02
Felipe,Delgado,F,2020-11-04
Diego,Acosta,M,2017-02-11
José,Navarro,M,2020-05-23
Gabriela,Martínez,F,2017-06-28
Alejandro,Fernández,M,2020-01-31
Cristian,Ramos,F,2016-07-28
Ana,Delgado,M,2018-04-22
Camila,Romero,M,2020-11-29
Juan,Torres,M,2018-01-27
Pablo,Miranda,F,2019-12-20
Mariana,León,F,2018-10-04
Gabriel,Chávez,M,2020-08-10
Valeria,Cruz,M,2017-03-26
Alejandro,Cruz,F,2020-05-25
Francisco,Vargas,M,2017-12-19
Valeria,Blanco,M,2019-05-04
Natalia,Rodríguez,M,2019-12-03
Sergio,Fernández,M,2019-12-18
Paula,Navarro,M,2015-02-20
Adriana,Núñez,F,2020-10-15
Pablo,Gómez,F,2018-05-03
Esteban,Silva,M,2018-09-02
Cristian,Domínguez,F,2016-04-08
Gabriel,Molina,M,2020-11-24
Valentina,León,F,2017-05-29
Esteban,Gómez,F,2018-05-14
Pablo,Ramos,M,2019-01-16
Arturo,Silva,M,2019-08-14
Isabella,Moreno,F,2020-07-18
Laura,Silva,M,2015-10-05
Paula,Fernández,F,2017-02-10
Pilar,González,F,2015-06-21
Isabella,Gómez,M,2016-12-11
Miguel,Ramírez,F,2020-04-18
Gabriel,Salazar,F,2020-09-20
Daniela,Ramos,M,2018-11-07
Adriana,Silva,M,2015-11-16
Francisco,Ramos,M,2017-11-20
Sofía,Torres,M,2015-09-22
Laura,Soto,F,2016-05-06
Pablo,Romero,F,2015-09-23
Francisco,Díaz,M,2018-08-07
Mariana,Silva,M,2015-05-02
Javier,Mendoza,M,2015-04-16
Martina,Flores,M,2019-03-15
Gonzalo,Morales,M,2019-03-25
Pilar,Fernández,F,2016-10-21
Fernando,Silva,M,2017-11-04
Cristian,Mendoza,M,2018-11-07
Esteban,Gómez,F,2018-01-02
Miguel,Cruz,M,2020-01-29
Paula,Blanco,F,2016-04-02
Fernando,Ramírez,F,2019-09-14
José,Domínguez,M,2018-03-07
Antonia,Rojas,M,2018-04-14
Miguel,Vázquez,M,2019-08-20
Andrés,Acosta,F,2016-10-04
Francisco,Acosta,F,2017-01-28
Andrea,Mendoza,M,2015-07-07
Fernando,Mendoza,M,2015-07-03
Valeria,Vázquez,F,2018-07-01
Valentina,Rodríguez,F,2019-11-18
Ricardo,Domínguez,F,2016-01-19
Pedro,Vázquez,F,2020-09-02
Gabriel,Núñez,F,2019-03-22
Gabriel,López,F,2017-06-01
María,González,F,2017-10-08
Javier,Peña,F,2018-06-19
Sergio,Benítez,M,2020-12-05
Emma,Ruiz,F,2020-11-18
Laura,Ortiz,F,2015-08-08
Andrea,Chávez,M,2018-02-15
Isabella,González,M,2017-01-17
Valentina,León,F,2020-12-17
Valeria,Castro,F,2018-06-30
Mariana,Fernández,M,2019-12-11
Adriana,Martínez,M,2020-06-23
Mariana,Gómez,F,2020-05-22
Pablo,Morales,F,2016-10-06
Camila,Morales,M,2018-09-21
Natalia,Ramos,F,2020-02-05
Natalia,Rojas,F,2015-08-08
Javier,Fernández,M,2020-04-20
Diego,Blanco,M,2018-11-11
Paula,Castillo,M,2017-05-21
Manuel,Gómez,F,2016-05-25
Alejandro,Molina,M,2020-02-11
Luis,Vargas,M,2015-05-26
Cristian,Molina,F,2017-03-16
Daniela,Peña,F,2016-07-02
Carolina,García,M,2019-02-06
Esteban,Castillo,F,2017-11-22
Miguel,Álvarez,F,2015-07-20
Arturo,Contreras,F,2017-01-31
Cristian,Silva,F,2018-08-12
Martina,Domínguez,F,2020-05-24
Pablo,Pérez,M,2019-08-05
Andrés,Vázquez,F,2015-11-10
Francisco,Ruiz,M,2016-01-10
Pablo,Rodríguez,M,2019-09-20
Arturo,Rojas,M,2015-11-22
Sergio,Álvarez,F,2020-08-10
Natalia,Fernández,M,2017-12-14
Ana,Flores,F,2018-03-01
Manuel,Bravo,F,2015-04-28
Valentina,Blanco,F,2016-05-12
Andrés,Díaz,F,2016-08-03
Sofía,Morales,M,2017-05-01
Pedro,García,M,2015-09-29
Luis,Martínez,M,2016-09-18
Lorena,Núñez,M,2020-03-09
Daniela,Castillo,M,2019-10-13
Pedro,Sánchez,F,2015-04-26
Cristian,Domínguez,M,2015-11-06
Victoria,Domínguez,M,2016-06-26
Carlos,Miranda,M,2018-06-12
Esteban,Vázquez,F,2019-11-10
Gonzalo,Romero,M,2017-05-23
María,Guerrero,M,2020-07-27
Pablo,López,M,2019-11-30
Lorena,Torres,F,2020-10-11
Gabriela,Herrera,M,2020-03-05
Andrés,Castro,F,2018-02-20
Antonia,Morales,F,2017-10-01
Ana,Ramírez,F,2016-05-12
Carlos,Vargas,F,2018-05-06
Adriana,Vargas,F,2020-03-14
Manuel,Castro,F,2018-02-22
Pilar,Díaz,M,2016-03-16
Laura,Mendoza,M,2019-09-07
Roberto,Miranda,M,2016-05-27
Valeria,Flores,F,2020-08-17
Luciana,Contreras,M,2017-08-06
Emma,Gómez,M,2016-07-17
Rafael,Herrera,M,2018-02-17
María,Acosta,F,2015-11-27
Pedro,Peña,M,2015-08-20
María,Álvarez,M,2020-11-08
Laura,Ortiz,M,2018-06-25
Daniela,Molina,F,2015-01-18
Esteban,Álvarez,F,2020-01-02
Andrea,Salazar,F,2020-06-14
Camila,Torres,M,2015-07-27
Fernando,López,F,2017-02-01
Javier,Acosta,F,2018-01-16
Gabriela,Ortiz,F,2017-08-30
Francisco,Salazar,M,2019-09-24
Victoria,Delgado,M,2020-04-24
Arturo,Cruz,M,2019-11-15
Sergio,Ruiz,M,2019-06-22
Isabella,Rojas,F,2020-10-25
Andrea,Vargas,F,2018-03-05
Martina,Molina,F,2018-07-22
Martina,Rojas,M,2019-04-19
Juan,Guerrero,F,2017-12-07
Sergio,Rojas,M,2017-04-12
Lorena,Ruiz,M,2016-02-25
Esteban,Castro,M,2020-09-03
Andrés,Ortiz,F,2019-09-11
Lorena,Rojas,F,2016-05-18
Andrés,Molina,M,2016-12-11
Manuel,Morales,F,2019-08-02
Jorge,Sánchez,M,2015-01-07
Francisco,Benítez,F,2015-06-22
Miguel,Torres,F,2018-10-15
Daniela,López,F,2020-07-25
Ricardo,Ortiz,F,2019-02-18
Mariana,Flores,M,2018-07-14
Andrés,Delgado,M,2019-05-11
Daniela,Blanco,F,2016-01-27
Lorena,Castro,F,2015-07-06
Sergio,Bravo,M,2015-03-28
Ana,Domínguez,F,2019-12-04
Daniela,Benítez,M,2020-05-15
Luciana,Contreras,M,2016-05-04
Gabriela,Domínguez,F,2016-07-18
María,Reyes,M,2019-02-27
Pablo,Guerrero,F,2019-10-31
Miguel,Rodríguez,F,2016-10-11
Daniela,Salazar,F,2018-01-20
Sofía,Gómez,M,2015-08-12
Lorena,Benítez,M,2020-08-30
Arturo,Soto,F,2016-07-02
Ricardo,Gómez,M,2018-07-10
Pablo,Navarro,M,2020-04-27
Francisco,Moreno,M,2015-11-11
Luciana,Silva,F,2018-08-02
Andrea,Bravo,F,2015-07-14
Sofía,León,M,2018-08-03
Manuel,Delgado,F,2019-05-17
Emma,Morales,F,2020-06-26
Ricardo,Jiménez,F,2017-06-12
Pablo,Rojas,M,2019-10-10
Javier,Jiménez,F,2019-09-14
Luciana,Miranda,F,2015-05-24
Lorena,Bravo,M,2017-12-25
Cristian,Vargas,M,2020-08-29
Martina,Torres,M,2016-12-16
Daniela,Ramírez,F,2018-03-01
Andrés,Rojas,M,2019-11-10
María,Domínguez,M,2019-11-30
Gabriel,Bravo,F,2017-07-26
Ricardo,Rojas,F,2015-01-25
Ricardo,León,F,2019-10-23
Miguel,Domínguez,M,2016-01-28
Pilar,Flores,F,2017-01-17
Francisco,Chávez,M,2019-10-07
Luis,Benítez,F,2016-06-30
Jorge,Morales,F,2018-11-11
Sofía,Contreras,F,2020-11-17
Miguel,Rojas,M,2020-02-13
Cristian,Moreno,M,2018-08-14
Ricardo,Delgado,M,2018-04-26
Lorena,Domínguez,M,2015-05-18
Andrés,Torres,M,2019-04-28
Mariana,Vázquez,F,2017-08-03
Alejandro,Torres,M,2015-07-23
Jorge,Jiménez,M,2019-12-04
Andrea,León,M,2020-01-27
Cristian,Morales,F,2019-02-16
Andrea,Díaz,F,2015-09-23
Rafael,Torres,M,2020-12-15
Gabriel,Rodríguez,M,2015-12-30
María,Cruz,M,2016-12-02
Sergio,Rivera,M,2015-07-21
Alejandro,Fernández,F,2019-05-04
Manuel,Núñez,M,2018-10-15
Emma,Jiménez,F,2016-09-25
Gabriel,Fernández,M,2015-12-22
Roberto,Morales,M,2016-01-14
Rafael,Sánchez,M,2016-10-28
Francisco,Benítez,F,2019-03-23
Adriana,Miranda,F,2018-08-24
Esteban,Reyes,M,2019-11-06
Luciana,Rodríguez,F,2017-01-29
Roberto,Blanco,F,2017-03-11
Felipe,Peña,F,2019-12-15
Pilar,Moreno,M,2020-02-29
Pablo,Bravo,F,2019-12-17
Antonia,Peña,F,2016-10-03
María,Ramírez,M,2019-04-28
Daniela,Moreno,F,2016-09-05
Francisco,Guerrero,F,2019-12-07
Jorge,Peña,F,2020-01-11
Gabriela,Contreras,F,2016-11-09
Cristian,Domínguez,F,2017-11-26
Ricardo,García,M,2019-06-04
Andrea,Molina,F,2020-04-22
Miguel,Peña,M,2017-09-03
Francisco,Morales,M,2015-05-16
Sofía,Fernández,M,2018-02-13
Sofía,Torres,M,2017-12-11
Andrea,Molina,F,2015-08-27
Luciana,Rivera,F,2018-09-09
Gabriel,Mendoza,F,2016-03-04
Arturo,Guerrero,M,2018-02-16
Felipe,Herrera,M,2018-04-15
Cristian,Ruiz,M,2016-11-19
Laura,Acosta,M,2017-12-15
María,Ramos,F,2017-09-24
Adriana,Acosta,F,2015-06-15
Valeria,Molina,M,2017-08-05
Ricardo,Ramos,F,2016-08-29
Diego,Ortiz,M,2020-06-06
Gabriela,Flores,F,2019-03-27
Valeria,Torres,M,2018-09-24
Cristian,Rojas,F,2018-04-26
Miguel,Miranda,M,2016-08-25
Ana,Navarro,M,2016-11-07
Mariana,Soto,M,2019-03-16
Adriana,Romero,F,2019-03-18
Jorge,Blanco,F,2015-02-07
Gabriel,Díaz,F,2019-10-31
Fernando,Ramírez,M,2020-06-04
Sergio,Núñez,F,2020-05-22
Esteban,Ramos,M,2020-03-28
Juan,Morales,F,2019-06-30
Andrea,Sánchez,F,2020-04-01
Gabriela,Martínez,M,2017-01-10
Pedro,Acosta,F,2016-09-14
Francisco,Castillo,F,2020-12-18
Ana,Herrera,F,2017-02-11
Sofía,Bravo,F,2019-05-18
Andrés,Bravo,F,2015-05-27
Alejandro,González,M,2016-03-27
Fernando,Núñez,M,2016-02-23
Roberto,Castillo,F,2018-03-31
Daniela,López,M,2018-02-01
Alejandro,Castillo,F,2020-01-13
Esteban,León,M,2015-10-14
Jorge,Fernández,M,2019-06-09
Daniela,Morales,M,2015-02-13
Javier,Torres,M,2020-07-24
Valeria,Sánchez,M,2017-03-02
Valeria,Fernández,M,2017-04-02
Luis,Rojas,F,2020-03-10
Valentina,Jiménez,M,2020-12-29
Mariana,Castillo,M,2016-06-11
Martina,Romero,F,2018-08-23
Cristian,Romero,F,2017-07-09
Antonia,Delgado,F,2020-06-27
Fernando,Contreras,F,2018-12-25
Diego,Sánchez,M,2019-05-05
Jorge,Salazar,F,2019-04-16
María,Fernández,F,2017-06-25
Rafael,León,M,2015-04-11
Florencia,Vázquez,F,2019-03-27
Camila,Rojas,M,2015-04-24
Jorge,Mendoza,M,2018-01-30
Andrés,Contreras,M,2015-07-11
Juan,González,F,2018-05-27
Emma,Chávez,M,2017-04-08
Pablo,García,F,2018-07-17
Martina,Morales,M,2016-03-15
Carolina,Castillo,M,2015-12-25
Paula,Domínguez,M,2019-02-23
Luis,Silva,M,2020-02-19
Valeria,Herrera,F,2019-02-03
Manuel,Flores,M,2019-01-24
Manuel,Delgado,F,2018-09-24
Adriana,Torres,M,2017-04-07
Pilar,Rojas,F,2018-09-22
Andrés,Silva,F,2016-08-15
Luis,Acosta,M,2017-05-26
Sergio,Díaz,M,2015-05-26
Adriana,Morales,M,2017-07-03
Daniela,Peña,F,2017-08-26
Andrea,Benítez,M,2016-02-05
Gonzalo,Vargas,F,2017-05-10
Fernando,Navarro,F,2018-05-05
Andrea,Soto,F,2019-01-19
Diego,Molina,F,2018-11-01
Florencia,Bravo,F,2017-07-27
Martina,Rojas,F,2016-04-18
Gonzalo,Herrera,F,2017-11-02
Paula,Díaz,F,2017-10-14
Paula,Rojas,M,2018-10-28
José,Rivera,M,2015-10-21
Pedro,Vázquez,F,2016-10-26
Luis,Benítez,M,2016-11-10
Luis,Acosta,M,2018-09-15
Luciana,Domínguez,F,2015-10-25
Martina,Martínez,M,2017-10-20
Rafael,Domínguez,F,2017-08-02
Sergio,Chávez,F,2016-01-15
Gabriela,Miranda,M,2015-08-25
Rafael,Castro,F,2020-02-26
Esteban,Blanco,F,2018-09-20
Jorge,Rojas,F,2017-03-13
María,Rojas,M,2016-06-05
Alejandro,Ruiz,F,2019-10-01
Daniela,Fernández,F,2020-11-25
Pablo,Rodríguez,F,2020-01-15
Isabella,Castro,M,2015-03-27
Victoria,Romero,M,2020-11-11
Victoria,Navarro,M,2019-12-02
Arturo,Peña,F,2017-12-14
Mariana,González,M,2019-05-04
Daniela,Benítez,F,2016-06-10
Andrés,Ramírez,M,2017-07-23
Paula,Navarro,M,2020-10-14
Andrés,Ramos,M,2016-06-14
José,Vargas,F,2015-08-14
Andrea,Cruz,F,2020-05-07
Emma,Ruiz,M,2018-07-16
Andrés,Jiménez,M,2017-09-10
Luis,Acosta,M,2017-05-02
Sergio,Herrera,F,2020-11-05
Isabella,Salazar,F,2018-11-26
Pilar,Castro,M,2015-09-11
Valentina,Sánchez,M,2015-12-31
Daniela,Guerrero,F,2017-03-25
Rafael,Núñez,F,2017-07-01
Valentina,Flores,M,2017-10-07
María,Blanco,F,2017-06-23
Sergio,Martínez,F,2016-05-19
Florencia,Soto,M,2015-03-16
Jorge,Castro,F,2020-01-11
Isabella,Molina,F,2017-01-14
María,Castro,M,2019-09-02
Sofía,Soto,F,2015-09-19
Antonia,Castro,F,2016-03-20
Francisco,Vázquez,M,2015-01-12
Martina,Ortiz,M,2016-12-18
Laura,Domínguez,M,2016-12-05
Emma,Rojas,M,2015-11-07
Miguel,Morales,M,2019-02-16
Emma,Acosta,F,2020-09-09
Juan,Núñez,F,2015-11-13
Victoria,Rivera,F,2015-04-10
Cristian,Rojas,F,2017-12-20
Arturo,Peña,M,2018-09-12
Mariana,Chávez,F,2017-11-23
Roberto,Jiménez,M,2016-08-19
Fernando,Núñez,F,2018-12-06
José,Delgado,M,2018-07-28
Natalia,Pérez,F,2018-02-25
Roberto,Silva,M,2016-02-27
Esteban,Cruz,M,2016-03-17
Gabriel,Contreras,M,2015-09-28
Daniela,Guerrero,F,2019-02-17
Francisco,Vázquez,M,2018-04-21
Emma,García,M,2015-01-16
María,Mendoza,M,2015-10-31
Francisco,Herrera,M,2018-03-03
Ana,Delgado,F,2018-08-28
Luciana,Soto,F,2017-07-26
Arturo,Bravo,M,2015-09-23
Martina,Pérez,F,2016-05-23
Javier,Blanco,M,2016-08-27
Ana,Bravo,M,2019-01-31
Camila,Ramos,M,2015-02-28
Emma,Gómez,M,2020-09-29
Natalia,Miranda,M,2019-04-26
Diego,Herrera,F,2017-07-26
Daniela,Mendoza,F,2017-04-24
Jorge,Benítez,F,2015-07-20
Valeria,Morales,M,2019-07-07
Francisco,Cruz,M,2018-08-28
Alejandro,Ramos,M,2019-02-28
Carlos,Navarro,M,2020-01-21
Fernando,Martínez,F,2018-04-10
Esteban,Álvarez,M,2015-04-12
Valentina,Pérez,M,2017-07-07
Juan,Álvarez,F,2020-09-08
Luis,Cruz,M,2015-02-28
Cristian,Mendoza,F,2016-10-04
Cristian,Flores,M,2016-05-21
Pablo,Rodríguez,F,2016-09-19
Esteban,Gómez,M,2019-08-11
Cristian,Moreno,M,2017-08-27
Natalia,Silva,M,2015-11-26
Ricardo,Flores,M,2019-12-26
Rafael,Jiménez,M,2019-09-09
Jorge,Soto,F,2018-04-21
Isabella,Bravo,F,2016-11-14
Carlos,Torres,M,2017-09-10
Roberto,Domínguez,F,2017-07-05
Valeria,Chávez,F,2017-02-27
Andrés,Flores,M,2019-04-06
Rafael,Domínguez,F,2016-02-09
Alejandro,González,F,2020-04-01
Daniela,Miranda,M,2020-08-02
Martina,García,M,2020-12-26
Lorena,Rojas,M,2017-12-11
Pilar,Vázquez,F,2019-12-18
Ricardo,Ramos,M,2017-10-03
Sofía,López,F,2015-12-17
Adriana,León,M,2018-07-18
Laura,Ruiz,F,2018-08-17
Sergio,Peña,M,2020-02-20
Pilar,Benítez,F,2018-04-25
María,López,M,2016-07-15
Victoria,Cruz,M,2019-03-07
Natalia,Navarro,F,2017-07-25
Javier,Vázquez,F,2016-02-05
Emma,Cruz,M,2020-02-07
Jorge,Rojas,M,2018-06-13
Jorge,Vázquez,M,2019-09-11
Luciana,López,F,2017-05-29
Pedro,León,F,2016-09-27
Felipe,Cruz,M,2017-04-20
Felipe,Jiménez,M,2020-07-11
Carlos,Acosta,F,2015-12-07
José,Ortiz,M,2018-06-16
Jorge,Díaz,M,2017-04-09
María,Reyes,F,2016-12-23
Mariana,Rodríguez,M,2018-02-14
Ana,Núñez,F,2018-02-03
Felipe,Delgado,M,2018-10-25
Felipe,Reyes,M,2016-06-25
Carlos,Núñez,M,2015-02-13
Natalia,González,M,2019-12-19
Martina,Ramos,M,2019-06-25
Luis,Mendoza,F,2020-07-06
Emma,Ortiz,F,2017-10-06
Sofía,Álvarez,F,2020-02-18
Victoria,Rojas,M,2016-02-23
Antonia,Martínez,F,2018-10-11
Esteban,Herrera,M,2017-08-12
Carlos,Domínguez,M,2020-03-11
Antonia,Moreno,F,2020-06-06
Carolina,Blanco,M,2016-10-20
Juan,Silva,M,2017-05-26
Rafael,Reyes,M,2018-01-25
Daniela,Vargas,F,2019-09-10
Martina,Ramírez,M,2018-08-18
Arturo,Ortiz,M,2016-03-20
Laura,Silva,M,2018-08-10
Alejandro,Silva,F,2017-04-03
Antonia,Silva,M,2018-10-20
Valeria,Flores,F,2020-01-03
